Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,heading,roll,pitch,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
88,6.249,-0.920,1.095,9.610,-69.875,-54.469,-43.094,0.031,-0.157,0.093,145.875,-4.875,-6.438,-0.075,0.010,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
89,6.321,-0.975,1.100,9.690,-69.469,-54.656,-42.625,-0.031,-0.250,0.093,145.875,-4.875,-6.438,-0.080,0.000,-0.090,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
90,6.392,-0.920,1.095,9.620,-69.812,-54.875,-42.406,-0.031,-0.250,0.062,145.875,-4.875,-6.438,-0.080,0.000,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
91,6.463,-0.925,1.105,9.630,-70.375,-55.094,-43.469,0.031,-0.188,0.062,145.875,-4.875,-6.438,-0.080,0.005,-0.070,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
92,6.532,-0.925,1.110,9.625,-69.812,-55.281,-43.688,0.062,-0.032,0.000,145.875,-4.875,-6.438,-0.080,0.005,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
93,6.604,-0.920,1.095,9.615,-69.656,-55.062,-42.875,0.031,-0.093,0.000,145.875,-4.875,-6.438,-0.070,0.000,-0.100,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
93,6.604,-0.920,1.095,9.615,-69.656,-55.062,-42.875,0.031,-0.093,0.000,145.875,-4.875,-6.438,-0.070,0.000,-0.100,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
94,6.676,-0.930,1.105,9.635,-69.875,-55.281,-43.062,0.031,0.032,0.031,145.875,-4.875,-6.438,-0.085,0.000,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
95,6.749,-0.920,1.110,9.615,-69.875,-55.094,-43.281,0.031,0.000,0.000,145.875,-4.875,-6.438,-0.085,0.000,-0.050,-0.840,1.100,9.060,0.293,0.058,-0.041,-0.954
96,6.819,-0.920,1.100,9.630,-69.469,-55.094,-43.281,-0.031,0.000,-0.031,145.875,-4.875,-6.438,-0.080,0.000,-0.060,-0.840,1.100,9.060,0.293,0.058,-0.041,-0.954
97,6.890,-0.855,1.100,9.530,-69.281,-55.094,-42.812,-0.031,0.000,0.000,145.875,-4.875,-6.438,-0.085,0.000,-0.070,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
98,6.960,-0.915,1.105,9.610,-69.688,-54.875,-42.031,0.031,0.062,0.031,145.875,-4.875,-6.438,-0.090,0.000,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
99,7.029,-0.920,1.115,9.630,-69.875,-55.062,-42.281,0.000,0.219,-0.031,145.875,-4.875,-6.438,-0.085,0.000,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
99,7.029,-0.920,1.115,9.630,-69.875,-55.062,-42.281,0.000,0.219,-0.031,145.875,-4.875,-6.438,-0.085,0.000,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
100,7.099,-0.910,1.100,9.625,-69.875,-55.062,-42.812,-0.031,0.063,-0.031,145.875,-4.875,-6.438,-0.075,-0.010,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
101,7.170,-0.905,1.100,9.620,-69.688,-55.281,-43.218,-0.031,0.094,-0.031,145.875,-4.875,-6.438,-0.085,0.005,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
102,7.241,-0.910,1.120,9.605,-69.688,-55.094,-43.282,0.000,-0.031,0.000,145.875,-4.875,-6.438,-0.075,0.015,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
103,7.311,-0.925,1.110,9.600,-69.875,-55.094,-43.469,-0.032,0.063,0.062,145.875,-4.875,-6.438,-0.070,0.005,-0.100,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
104,7.380,-0.915,1.105,9.590,-70.219,-55.500,-43.250,-0.062,-0.062,0.062,145.875,-4.875,-6.438,-0.065,0.005,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
105,7.450,-0.920,1.105,9.625,-70.219,-55.094,-42.469,0.000,-0.031,0.062,145.875,-4.875,-6.438,-0.070,0.000,-0.045,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
105,7.450,-0.920,1.105,9.625,-70.219,-55.094,-42.469,0.000,-0.031,0.062,145.875,-4.875,-6.438,-0.070,0.000,-0.045,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
106,7.521,-0.900,1.125,9.585,-70.062,-54.469,-42.469,-0.031,-0.094,0.093,145.875,-4.875,-6.438,-0.095,0.015,-0.055,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
107,7.591,-0.910,1.160,9.605,-69.875,-54.875,-42.406,-0.031,-0.125,0.032,145.875,-4.875,-6.438,-0.085,0.035,-0.115,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
108,7.662,-0.900,1.140,9.595,-69.469,-55.500,-42.812,0.000,-0.093,-0.062,145.875,-4.875,-6.438,-0.070,0.020,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
109,7.731,-0.900,1.105,9.615,-69.656,-55.500,-42.656,0.000,0.000,-0.031,145.875,-4.875,-6.438,-0.055,0.000,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
110,7.802,-0.905,1.115,9.610,-70.062,-55.500,-42.875,-0.031,0.188,0.000,145.875,-4.875,-6.438,-0.085,0.025,-0.060,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
111,7.872,-0.925,1.120,9.630,-70.062,-55.500,-42.875,-0.031,0.219,-0.062,145.875,-4.875,-6.438,-0.075,0.025,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
111,7.872,-0.925,1.120,9.630,-70.062,-55.500,-42.875,-0.031,0.219,-0.062,145.875,-4.875,-6.438,-0.075,0.025,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
112,7.943,-0.905,1.105,9.635,-70.062,-55.281,-42.062,-0.031,0.250,-0.093,145.875,-4.875,-6.438,-0.090,-0.015,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
113,8.014,-0.930,1.110,9.645,-69.875,-55.062,-42.688,-0.062,0.218,-0.093,145.875,-4.875,-6.438,-0.090,0.015,-0.090,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
114,8.083,-0.920,1.090,9.610,-69.875,-55.062,-43.875,-0.125,0.218,-0.062,145.875,-4.875,-6.438,-0.090,0.025,-0.060,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
115,8.154,-0.920,1.085,9.630,-69.875,-54.656,-43.875,-0.125,0.031,0.031,145.875,-4.875,-6.438,-0.060,-0.005,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
116,8.225,-0.930,1.085,9.620,-69.875,-54.656,-42.875,-0.031,0.031,0.093,145.875,-4.875,-6.438,-0.075,-0.010,-0.060,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
117,8.295,-0.940,1.080,9.610,-70.062,-55.062,-42.406,-0.094,-0.094,0.062,145.875,-4.875,-6.438,-0.070,-0.015,-0.070,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
118,8.366,-0.920,1.100,9.630,-69.656,-54.875,-42.031,-0.157,-0.031,0.062,145.875,-4.875,-6.438,-0.075,-0.010,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
118,8.366,-0.920,1.100,9.630,-69.656,-54.875,-42.031,-0.157,-0.031,0.062,145.875,-4.875,-6.438,-0.075,-0.010,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
119,8.434,-0.910,1.105,9.615,-69.812,-54.875,-42.094,-0.093,-0.062,0.000,145.875,-4.875,-6.438,-0.130,-0.005,0.005,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
120,8.505,-0.925,1.100,9.615,-69.812,-54.875,-43.282,-0.125,-4.062,-0.093,145.875,-4.875,-6.438,-0.060,-0.005,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
121,8.576,-0.920,1.095,9.610,-69.250,-54.688,-43.688,-0.157,-4.031,0.032,145.875,-4.875,-6.438,-0.085,-0.010,-0.085,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
122,8.648,-0.925,1.100,9.595,-69.469,-54.875,-43.094,-0.125,0.250,-0.032,145.875,-4.875,-6.438,-0.100,-0.005,-0.110,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
123,8.718,-0.935,1.100,9.620,-70.031,-55.281,-43.282,-0.062,0.188,-0.094,145.875,-4.875,-6.438,-0.095,0.000,-0.080,-0.835,1.100,9.700,0.293,0.058,-0.041,-0.954
124,8.786,-0.960,1.090,9.690,-69.625,-55.500,-43.688,-0.062,-0.032,0.031,145.875,-4.875,-6.438,-0.075,-0.005,-0.080,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
124,8.786,-0.960,1.090,9.690,-69.625,-55.500,-43.688,-0.062,-0.032,0.031,145.875,-4.875,-6.438,-0.075,-0.005,-0.080,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
125,8.857,-0.910,1.095,9.590,-69.062,-54.875,-42.688,-0.093,-0.063,0.093,145.875,-4.875,-6.438,-0.050,-0.005,-0.105,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
126,8.927,-0.915,1.105,9.635,-69.469,-54.656,-42.468,-0.093,-0.125,0.000,145.875,-4.875,-6.438,-0.075,0.005,-0.105,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
127,8.997,-0.890,1.095,9.615,-69.469,-54.875,-43.062,-0.093,-0.031,-0.093,145.875,-4.875,-6.438,-0.075,0.010,-0.100,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
128,9.067,-0.870,1.090,9.535,-69.250,-54.875,-43.062,-0.093,-0.125,-0.031,145.875,-4.875,-6.438,-0.080,-0.005,-0.070,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
129,9.136,-0.925,1.120,9.640,-69.250,-55.062,-43.062,-0.093,0.188,-0.094,145.875,-4.875,-6.438,-0.075,-0.005,-0.105,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
130,9.206,-0.910,1.120,9.610,-69.062,-55.281,-43.062,-0.062,0.281,-0.125,145.875,-4.875,-6.438,-0.110,-0.010,-0.065,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
130,9.206,-0.910,1.120,9.610,-69.062,-55.281,-43.062,-0.062,0.281,-0.125,145.875,-4.875,-6.438,-0.110,-0.010,-0.065,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
131,9.277,-0.920,1.100,9.615,-69.469,-55.281,-43.281,-0.062,-0.062,-0.062,145.875,-4.875,-6.438,-0.100,-0.025,-0.120,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
132,9.345,-0.915,1.120,9.635,-70.062,-55.281,-43.031,-0.031,0.125,-0.093,145.875,-4.875,-6.438,-0.105,-0.015,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
133,9.416,-0.940,1.105,9.630,-70.219,-55.094,-43.031,-0.062,0.094,-0.093,145.875,-4.875,-6.438,-0.090,-0.010,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
134,9.486,-0.960,1.085,9.610,-70.031,-54.875,-43.031,-0.062,-0.032,0.063,145.875,-4.875,-6.438,-0.090,-0.010,-0.055,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
135,9.556,-0.960,1.105,9.630,-69.875,-54.875,-42.562,-0.062,0.375,0.125,145.875,-4.875,-6.438,-0.070,-0.005,-0.080,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
136,9.627,-0.950,1.085,9.625,-69.656,-54.875,-42.562,-0.062,0.063,0.031,145.875,-4.875,-6.438,-0.080,0.000,-0.065,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
137,9.697,-0.920,1.095,9.610,-69.656,-55.062,-42.156,-0.125,-0.093,-0.031,145.875,-4.875,-6.438,-0.075,-0.005,-0.085,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
137,9.697,-0.920,1.095,9.610,-69.656,-55.062,-42.156,-0.125,-0.093,-0.031,145.875,-4.875,-6.438,-0.075,-0.005,-0.085,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
138,9.767,-0.915,1.125,9.610,-70.406,-55.062,-42.406,-0.156,-0.250,-0.031,145.875,-4.875,-6.438,-0.080,0.010,-0.085,-0.830,1.100,9.700,0.293,0.058,-0.041,-0.954
139,9.838,-0.895,1.125,9.590,-69.812,-55.406,-43.281,-0.093,-0.125,-0.125,145.875,-4.875,-6.438,-0.095,0.015,-0.065,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
140,9.908,-0.905,1.115,9.675,-69.469,-55.219,-42.875,-0.093,-0.125,-0.062,145.875,-4.875,-6.438,-0.085,0.010,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
141,9.978,-0.900,1.105,9.620,-69.875,-55.094,-42.406,-0.031,-0.125,0.032,145.875,-4.875,-6.438,-0.115,0.020,-0.040,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
142,10.046,-0.920,1.110,9.580,-69.688,-55.094,-42.781,-0.062,0.157,-0.062,145.875,-4.875,-6.438,-0.090,0.650,-0.120,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
143,10.117,-0.885,1.110,9.550,-69.688,-54.875,-43.031,-0.093,0.063,-0.031,145.875,-4.875,-6.438,-0.075,0.650,-0.070,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
